"dt","startdatetime","cpcode","response_code","originhits"
2022-01-01,2022-01-01T00:00:00.000Z,1367469,206,3457
2022-01-01,2022-01-01T00:00:00.000Z,1277306,0,4686
2022-01-01,2022-01-01T00:00:00.000Z,1069770,204,2926
2022-01-01,2022-01-01T00:00:00.000Z,1277305,500,499
2022-01-01,2022-01-01T00:00:00.000Z,1136038,400,3807
2022-01-01,2022-01-01T00:00:00.000Z,1236405,403,451
2022-01-01,2022-01-01T00:00:00.000Z,1277306,304,3929
2022-01-01,2022-01-01T00:00:00.000Z,1277306,403,4402
2022-01-01,2022-01-01T00:00:00.000Z,1274090,204,1690
2022-01-01,2022-01-01T00:00:00.000Z,1274089,502,2877
2022-01-01,2022-01-01T00:00:00.000Z,1069518,204,886
2022-01-01,2022-01-01T00:00:00.000Z,1136008,500,4376
2022-01-01,2022-01-01T00:00:00.000Z,1069770,502,1561
2022-01-01,2022-01-01T00:00:00.000Z,1136024,504,3728
2022-01-01,2022-01-01T00:00:00.000Z,1277305,504,2430
2022-01-01,2022-01-01T00:00:00.000Z,1274086,500,3857
2022-01-01,2022-01-01T00:00:00.000Z,1136018,504,89
2022-01-01,2022-01-01T00:00:00.000Z,1277305,204,4975
2022-01-01,2022-01-01T00:00:00.000Z,1135952,500,3151
2022-01-01,2022-01-01T00:00:00.000Z,1136021,504,961
2022-01-01,2022-01-01T00:00:00.000Z,1277305,504,1902
2022-01-01,2022-01-01T00:00:00.000Z,1136008,304,4426
2022-01-01,2022-01-01T00:00:00.000Z,1136021,200,1468
2022-01-02,2022-01-02T00:00:00.000Z,1274089,304,4072
2022-01-02,2022-01-02T00:00:00.000Z,1277307,502,7788
2022-01-02,2022-01-02T00:00:00.000Z,1069518,404,5755
2022-01-02,2022-01-02T00:00:00.000Z,1136024,200,5451
2022-01-02,2022-01-02T00:00:00.000Z,1308083,206,362
2022-01-02,2022-01-02T00:00:00.000Z,1136022,304,1111
2022-01-02,2022-01-02T00:00:00.000Z,1277306,206,8476
2022-01-02,2022-01-02T00:00:00.000Z,1277307,503,4710
2022-01-02,2022-01-02T00:00:00.000Z,1069518,403,6525
2022-01-02,2022-01-02T00:00:00.000Z,1274086,200,3428
2022-01-02,2022-01-02T00:00:00.000Z,1136022,206,2479
2022-01-02,2022-01-02T00:00:00.000Z,1069770,403,1705
2022-01-02,2022-01-02T00:00:00.000Z,1136001,200,1010
2022-01-02,2022-01-02T00:00:00.000Z,1277306,204,4624
2022-01-02,2022-01-02T00:00:00.000Z,1274089,504,1481
2022-01-02,2022-01-02T00:00:00.000Z,1136021,204,8555
2022-01-02,2022-01-02T00:00:00.000Z,1069518,502,6050
2022-01-02,2022-01-02T00:00:00.000Z,1136008,204,894
2022-01-02,2022-01-02T00:00:00.000Z,1136038,403,2197
2022-01-02,2022-01-02T00:00:00.000Z,1136019,400,6577
2022-01-02,2022-01-02T00:00:00.000Z,1136008,206,9392
2022-01-02,2022-01-02T00:00:00.000Z,1274091,204,5985
2022-01-02,2022-01-02T00:00:00.000Z,1136019,200,7808
2022-01-03,2022-01-03T00:00:00.000Z,1136001,502,2713
2022-01-03,2022-01-03T00:00:00.000Z,1277306,502,7778
2022-01-03,2022-01-03T00:00:00.000Z,1136038,502,3106
2022-01-03,2022-01-03T00:00:00.000Z,1136022,204,13888
2022-01-03,2022-01-03T00:00:00.000Z,1274090,404,13935
2022-01-03,2022-01-03T00:00:00.000Z,1136038,200,11439
2022-01-03,2022-01-03T00:00:00.000Z,1136023,403,7618
2022-01-03,2022-01-03T00:00:00.000Z,1136022,0,7473
2022-01-03,2022-01-03T00:00:00.000Z,1274090,504,4664
2022-01-03,2022-01-03T00:00:00.000Z,1277306,206,7340
2022-01-03,2022-01-03T00:00:00.000Z,1274089,503,7018
2022-01-03,2022-01-03T00:00:00.000Z,1136019,502,14344
2022-01-03,2022-01-03T00:00:00.000Z,1136039,304,4354
2022-01-03,2022-01-03T00:00:00.000Z,1274091,403,2197
2022-01-03,2022-01-03T00:00:00.000Z,1136018,500,4122
2022-01-03,2022-01-03T00:00:00.000Z,1277307,503,3624
