transaction_id,transaction_date_key,customer_id,account_id,product_id,branch_id,transaction_type_id,currency_id,channel_id,region_id,employee_id,risk_score_id,merchant_id,loan_type_id,fraud_status_id,payment_mode_id,time_id,tax_code_id,credit_rating_id,investment_plan_id,policy_id,amount
T1,20241003,C104,A102,P103,B103,TT1,CUR1,CH1,R5,E4,RS1,M5,LT4,FS5,PM2,T1,TX2,CR1,IP4,PO1,1247.81
T2,20241119,C103,A101,P102,B102,TT2,CUR3,CH3,R5,E2,RS3,M4,LT5,FS2,PM1,T1,TX2,CR2,IP1,PO5,3060.76
T3,20240428,C101,A103,P101,B103,TT2,CUR1,CH5,R1,E4,RS1,M5,LT5,FS1,PM1,T4,TX5,CR1,IP3,PO2,3693.96
T4,20240912,C103,A102,P104,B102,TT5,CUR1,CH2,R3,E5,RS5,M4,LT1,FS1,PM2,T5,TX4,CR3,IP4,PO3,8157.81
T5,20240525,C100,A104,P100,B102,TT2,CUR5,CH5,R4,E4,RS2,M4,LT4,FS1,PM4,T3,TX3,CR4,IP5,PO5,8416.56
T6,20240130,C104,A104,P102,B103,TT4,CUR2,CH3,R5,E1,RS1,M5,LT3,FS5,PM4,T5,TX3,CR5,IP5,PO5,5154.82
T7,20240220,C103,A102,P100,B101,TT3,CUR3,CH3,R1,E3,RS3,M1,LT1,FS2,PM2,T5,TX2,CR2,IP1,PO5,2592.79
T8,20241228,C101,A102,P102,B101,TT3,CUR3,CH2,R1,E1,RS5,M3,LT4,FS5,PM4,T1,TX4,CR3,IP4,PO3,214.26
T9,20240928,C101,A103,P101,B100,TT2,CUR4,CH2,R1,E2,RS4,M1,LT2,FS2,PM2,T3,TX2,CR4,IP5,PO4,1175.2
T10,20240929,C104,A103,P101,B101,TT1,CUR3,CH1,R2,E5,RS2,M4,LT5,FS1,PM3,T5,TX3,CR4,IP3,PO4,1852.23
T11,20240710,C101,A104,P104,B103,TT5,CUR3,CH2,R2,E2,RS5,M4,LT3,FS5,PM2,T1,TX3,CR2,IP4,PO3,604.97
T12,20240604,C103,A101,P102,B104,TT2,CUR3,CH5,R3,E5,RS5,M1,LT3,FS5,PM2,T1,TX3,CR1,IP3,PO1,8007.8
T13,20240506,C102,A101,P100,B103,TT5,CUR3,CH1,R4,E2,RS2,M2,LT2,FS2,PM2,T4,TX4,CR3,IP4,PO3,4703.8
T14,20240630,C102,A103,P103,B104,TT1,CUR5,CH1,R4,E2,RS5,M5,LT3,FS1,PM1,T4,TX5,CR3,IP3,PO5,4389.28
T15,20241104,C100,A100,P102,B101,TT4,CUR1,CH5,R2,E1,RS3,M4,LT2,FS3,PM4,T4,TX5,CR5,IP2,PO2,8216.55
T16,20241010,C103,A100,P103,B103,TT3,CUR3,CH4,R3,E4,RS3,M1,LT4,FS1,PM1,T2,TX5,CR1,IP2,PO1,5136.77
T17,20240122,C101,A104,P100,B102,TT2,CUR3,CH2,R1,E4,RS5,M4,LT1,FS3,PM1,T2,TX4,CR2,IP4,PO2,3355.96
T18,20240908,C101,A103,P103,B102,TT5,CUR2,CH3,R5,E1,RS4,M4,LT5,FS5,PM2,T1,TX1,CR4,IP5,PO5,3975.08
T19,20240114,C100,A102,P101,B103,TT4,CUR4,CH2,R2,E2,RS1,M3,LT3,FS3,PM4,T5,TX5,CR4,IP2,PO4,9406.92
T20,20240104,C103,A100,P104,B101,TT4,CUR5,CH3,R5,E3,RS4,M2,LT1,FS4,PM4,T1,TX4,CR1,IP1,PO4,5353.77
T21,20240725,C100,A102,P103,B101,TT1,CUR3,CH5,R2,E5,RS4,M1,LT2,FS5,PM1,T4,TX1,CR5,IP2,PO1,9537.07
T22,20241208,C103,A100,P104,B104,TT2,CUR2,CH4,R1,E3,RS1,M1,LT3,FS5,PM3,T1,TX1,CR3,IP4,PO1,3503.95
T23,20241210,C103,A102,P101,B104,TT4,CUR1,CH4,R2,E4,RS4,M4,LT2,FS2,PM1,T4,TX1,CR4,IP5,PO4,6173.07
T24,20240528,C101,A101,P102,B100,TT4,CUR2,CH2,R5,E3,RS2,M3,LT5,FS1,PM2,T4,TX5,CR5,IP4,PO4,2124.15
T25,20240601,C101,A103,P104,B101,TT2,CUR4,CH2,R2,E4,RS4,M1,LT3,FS5,PM4,T2,TX2,CR4,IP1,PO3,7686.5
T26,20241219,C104,A100,P104,B100,TT1,CUR4,CH5,R5,E4,RS3,M5,LT2,FS5,PM2,T1,TX3,CR5,IP4,PO2,8539.08
T27,20241128,C102,A104,P102,B104,TT4,CUR4,CH5,R5,E5,RS2,M1,LT5,FS4,PM5,T5,TX4,CR5,IP4,PO1,4581.32
T28,20241020,C102,A101,P103,B101,TT2,CUR2,CH2,R3,E1,RS5,M2,LT1,FS4,PM1,T5,TX2,CR4,IP1,PO1,9040.49
T29,20240822,C104,A101,P103,B101,TT3,CUR2,CH2,R5,E2,RS2,M3,LT4,FS2,PM2,T3,TX1,CR4,IP3,PO2,138.24
T30,20240813,C104,A102,P100,B101,TT5,CUR1,CH5,R4,E3,RS3,M1,LT5,FS2,PM1,T3,TX1,CR2,IP2,PO3,173.61
T31,20240818,C102,A103,P104,B102,TT1,CUR2,CH1,R5,E5,RS2,M1,LT3,FS4,PM4,T1,TX1,CR3,IP5,PO3,5108.88
T32,20240305,C100,A103,P104,B103,TT2,CUR5,CH4,R4,E2,RS3,M1,LT3,FS1,PM3,T3,TX2,CR5,IP3,PO4,6200.24
T33,20240929,C100,A104,P101,B104,TT5,CUR1,CH3,R4,E2,RS5,M4,LT2,FS4,PM5,T4,TX3,CR2,IP5,PO4,7684.76
T34,20241006,C101,A104,P100,B102,TT5,CUR1,CH1,R2,E2,RS3,M5,LT5,FS1,PM1,T4,TX5,CR2,IP5,PO5,6147.03
T35,20240605,C102,A103,P100,B104,TT1,CUR1,CH2,R1,E5,RS2,M3,LT2,FS2,PM4,T4,TX4,CR1,IP2,PO1,7247.97
T36,20241004,C104,A102,P100,B101,TT3,CUR4,CH5,R5,E1,RS4,M4,LT4,FS1,PM2,T1,TX2,CR3,IP3,PO4,8873.81
T37,20240927,C102,A101,P100,B103,TT2,CUR4,CH3,R2,E2,RS2,M2,LT2,FS5,PM4,T2,TX2,CR4,IP3,PO3,2153.37
T38,20241018,C100,A104,P101,B103,TT2,CUR2,CH5,R3,E1,RS5,M2,LT3,FS2,PM2,T3,TX5,CR5,IP1,PO5,6977.61
T39,20240615,C104,A101,P102,B101,TT5,CUR3,CH4,R3,E2,RS3,M2,LT2,FS2,PM4,T5,TX3,CR4,IP1,PO5,5465.53
T40,20240901,C101,A104,P103,B100,TT3,CUR3,CH1,R3,E2,RS2,M5,LT4,FS5,PM4,T2,TX4,CR4,IP2,PO3,6259.97
T41,20240430,C103,A103,P103,B104,TT5,CUR1,CH4,R3,E4,RS5,M4,LT4,FS1,PM1,T2,TX2,CR4,IP2,PO5,8674.88
T42,20240203,C104,A103,P100,B104,TT5,CUR4,CH4,R4,E4,RS2,M1,LT2,FS3,PM5,T1,TX4,CR4,IP4,PO3,9966.36
T43,20241023,C103,A103,P102,B101,TT4,CUR1,CH2,R5,E3,RS5,M2,LT4,FS3,PM1,T4,TX3,CR5,IP4,PO1,4421.41
T44,20241204,C100,A102,P101,B103,TT3,CUR1,CH1,R2,E5,RS2,M2,LT4,FS5,PM5,T5,TX4,CR1,IP2,PO3,3700.08
T45,20240620,C103,A102,P101,B103,TT2,CUR2,CH5,R4,E3,RS5,M3,LT5,FS5,PM5,T4,TX4,CR4,IP4,PO3,5287.91
T46,20240428,C104,A102,P102,B104,TT1,CUR4,CH2,R5,E5,RS2,M1,LT2,FS3,PM3,T1,TX2,CR2,IP1,PO1,3110.84
T47,20240917,C103,A102,P100,B104,TT3,CUR1,CH2,R4,E2,RS3,M1,LT5,FS2,PM4,T3,TX3,CR1,IP5,PO4,4652.64
T48,20241007,C103,A100,P104,B104,TT5,CUR2,CH4,R1,E3,RS4,M4,LT1,FS4,PM3,T1,TX5,CR4,IP1,PO1,2446.71
T49,20241014,C104,A101,P103,B100,TT4,CUR4,CH4,R1,E2,RS1,M1,LT4,FS5,PM4,T4,TX2,CR2,IP4,PO3,2686.73
T50,20241107,C102,A100,P101,B104,TT1,CUR1,CH5,R5,E3,RS2,M5,LT3,FS2,PM1,T5,TX3,CR2,IP5,PO1,3959.37
T51,20240418,C104,A101,P103,B101,TT5,CUR5,CH4,R5,E3,RS3,M3,LT5,FS4,PM1,T3,TX2,CR4,IP4,PO1,4626.78
